Sample in Buffer,Sample in Window,TRIGGER,high_add[35:0],dram_debug[3:0],response_received[64:0],flash_debug[3:0],init,cdebug[3:0],ddebug[3:0],tgen_debug[3:0],low_add[35:0],rdebug[4:0]
0,0,1,040000018,4,0,f,1,5,5,f,040000018,08
1,1,0,040000020,4,0,f,1,5,5,f,040000020,08
2,2,0,040000028,4,0,f,1,5,5,f,040000028,08
3,3,0,040000030,4,0,f,1,5,5,f,040000030,08
4,4,0,040000038,4,0,f,1,5,5,f,040000038,08
5,5,0,040000040,4,0,f,1,5,5,f,040000040,08
6,6,0,040000048,4,0,f,1,4,5,f,040000048,08
7,7,0,040000008,4,0,f,1,4,5,f,040000008,08
8,8,0,040000010,4,0,f,1,5,5,f,040000010,08
9,9,0,040000018,4,1,f,1,5,5,f,040000018,08
10,10,0,040000020,4,2,f,1,5,5,f,040000020,08
11,11,0,040000028,4,3,f,1,5,5,f,040000028,08
12,12,0,040000030,4,4,f,1,5,5,f,040000030,08
13,13,0,040000038,4,5,f,1,5,5,f,040000038,08
14,14,0,040000040,4,6,f,1,5,5,f,040000040,08
15,15,0,040000048,4,7,f,1,5,5,f,040000048,08
16,16,0,040000008,4,8,f,1,5,5,f,040000008,08
17,17,0,040000010,4,9,f,1,5,5,f,040000010,08
18,18,0,040000018,4,0,f,1,5,5,f,040000018,08
19,19,0,040000020,4,0,f,1,5,5,f,040000020,08
20,20,0,040000028,4,0,f,1,5,5,f,040000028,08
21,21,0,040000030,4,0,f,1,5,5,f,040000030,08
22,22,0,040000038,4,0,f,1,5,5,f,040000038,08
23,23,0,040000040,4,0,f,1,5,5,f,040000040,08
24,24,0,040000048,4,0,f,1,5,5,f,040000048,08
25,25,0,040000008,4,0,f,1,5,5,f,040000008,08
26,26,0,040000010,4,0,f,1,5,5,f,040000010,08
27,27,0,040000018,4,1,f,1,5,5,f,040000018,08
28,28,0,040000020,4,2,f,1,5,5,f,040000020,08
29,29,0,040000028,4,3,f,1,5,5,f,040000028,08
30,30,0,040000030,4,4,f,1,5,5,f,040000030,08
31,31,0,040000038,4,5,f,1,5,5,f,040000038,08
32,32,0,040000040,4,6,f,1,5,5,f,040000040,08
33,33,0,040000048,4,7,f,1,5,5,f,040000048,08
34,34,0,040000008,4,8,f,1,5,5,f,040000008,08
35,35,0,040000010,4,9,f,1,5,5,f,040000010,08
36,36,0,040000018,4,0,f,1,5,5,f,040000018,08
37,37,0,040000020,4,0,f,1,5,5,f,040000020,08
38,38,0,040000028,4,0,f,1,5,5,f,040000028,08
39,39,0,040000030,4,0,f,1,5,5,f,040000030,08
40,40,0,040000038,4,0,f,1,5,5,f,040000038,08
41,41,0,040000040,4,0,f,1,5,5,f,040000040,08
42,42,0,040000048,4,0,f,1,5,5,f,040000048,08
43,43,0,040000008,4,0,f,1,5,5,f,040000008,08
44,44,0,040000010,4,0,f,1,5,5,f,040000010,08
45,45,0,040000018,4,1,f,1,5,5,f,040000018,08
46,46,0,040000020,4,2,f,1,5,5,f,040000020,08
47,47,0,040000028,4,3,f,1,5,5,f,040000028,08
48,48,0,040000030,4,4,f,1,5,5,f,040000030,08
49,49,0,040000038,4,5,f,1,5,5,f,040000038,08
50,50,0,040000040,4,6,f,1,5,5,f,040000040,08
51,51,0,040000048,4,7,f,1,5,5,f,040000048,08
52,52,0,040000008,4,8,f,1,5,5,f,040000008,08
53,53,0,040000010,4,9,f,1,5,5,f,040000010,08
54,54,0,040000018,4,0,f,1,5,5,f,040000018,08
55,55,0,040000020,4,0,f,1,5,5,f,040000020,08
56,56,0,040000028,4,0,f,1,5,5,f,040000028,08
57,57,0,040000030,4,0,f,1,5,5,f,040000030,08
58,58,0,040000038,4,0,f,1,5,5,f,040000038,08
59,59,0,040000040,4,0,f,1,5,5,f,040000040,08
60,60,0,040000048,4,0,f,1,5,5,f,040000048,08
61,61,0,040000008,4,0,f,1,5,5,f,040000008,08
62,62,0,040000010,4,0,f,1,5,5,f,040000010,08
63,63,0,040000018,4,1,f,1,5,5,f,040000018,08
64,64,0,040000020,4,2,f,1,5,5,f,040000020,08
65,65,0,040000028,4,3,f,1,5,5,f,040000028,08
66,66,0,040000030,4,4,f,1,5,5,f,040000030,08
67,67,0,040000038,4,5,f,1,5,5,f,040000038,08
68,68,0,040000040,4,6,f,1,5,5,f,040000040,08
69,69,0,040000048,4,7,f,1,5,5,f,040000048,08
70,70,0,040000008,4,8,f,1,5,5,f,040000008,08
71,71,0,040000010,4,9,f,1,5,5,f,040000010,08
72,72,0,040000018,4,0,f,1,5,5,f,040000018,08
73,73,0,040000020,4,0,f,1,5,5,f,040000020,08
74,74,0,040000028,4,0,f,1,5,5,f,040000028,08
75,75,0,040000030,4,0,f,1,5,5,f,040000030,08
76,76,0,040000038,4,0,f,1,5,5,f,040000038,08
77,77,0,040000040,4,0,f,1,5,5,f,040000040,08
78,78,0,040000048,4,0,f,1,5,5,f,040000048,08
79,79,0,040000008,4,0,f,1,5,5,f,040000008,08
80,80,0,040000010,4,0,f,1,5,5,f,040000010,08
81,81,0,040000018,4,1,f,1,5,5,f,040000018,08
82,82,0,040000020,4,2,f,1,5,5,f,040000020,08
83,83,0,040000028,4,3,f,1,5,5,f,040000028,08
84,84,0,040000030,4,4,f,1,5,5,f,040000030,08
85,85,0,040000038,4,5,f,1,5,5,f,040000038,08
86,86,0,040000040,4,6,f,1,4,5,f,040000040,08
87,87,0,040000048,4,7,f,1,4,5,f,040000048,08
88,88,0,040000008,4,8,f,1,5,5,f,040000008,08
89,89,0,040000010,4,9,f,1,5,5,f,040000010,08
90,90,0,040000018,4,0,f,1,5,5,f,040000018,08
91,91,0,040000020,4,0,f,1,5,5,f,040000020,08
92,92,0,040000028,4,0,f,1,5,5,f,040000028,08
93,93,0,040000030,4,0,f,1,5,5,f,040000030,08
94,94,0,040000038,4,0,f,1,5,5,f,040000038,08
95,95,0,040000040,4,0,f,1,5,5,f,040000040,08
96,96,0,040000048,4,0,f,1,5,5,f,040000048,08
